title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Stole the Show,Kygo,edm,2016,2020-06-19,100,64,64,-8,32,48,223,27,23,78,2015,Solo
Nothing Left (feat. Will Heard),Kygo,edm,2015,2020-06-19,154,58,68,-7,37,35,237,26,4,59,2015,Solo
High By The Beach,Lana Del Rey,art pop,2015,2021-08-09,132,49,54,-11,12,10,258,24,3,71,2015,Solo
Hurt Me,Låpsley,electropop,2016,2020-06-19,138,73,66,-5,16,59,231,69,13,55,2015,Solo
Closer,Lemaitre,alternative dance,2017,2021-08-09,92,79,58,-4,12,36,271,0,3,64,2015,Duo
Lot to Learn,Luke Christopher,indie pop rap,2015,2020-06-19,82,85,41,-4,7,60,248,9,20,66,2015,Solo
Lean On,Major Lazer,dance pop,2015,2020-06-19,98,81,72,-3,56,27,177,0,6,76,2015,Trio
Light It Up - Remix,Major Lazer,dance pop,2015,2020-06-19,108,88,75,-4,23,75,166,4,7,71,2015,Trio
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,2020-06-19,115,61,86,-7,3,93,270,1,8,86,2015,Solo
Intoxicated - Radio Edit,Martin Solveig,dance pop,2015,2020-06-19,125,69,79,-4,10,50,160,0,4,62,2015,Solo
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,2020-06-19,78,66,59,-5,12,25,224,2,20,73,2015,Solo
Believe,Mumford & Sons,modern folk rock,2015,2020-06-19,114,62,36,-7,22,42,221,3,4,61,2015,Band/Group
Somebody,Natalie La Rose,chicago rap,2014,2020-06-19,105,52,83,-9,7,74,190,0,4,69,2015,Solo
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,pop rap,2015,2020-06-22,104,44,77,-6,12,74,186,44,4,62,2015,Duo
Drive,Oh Wonder,electropop,2015,2021-08-09,142,46,66,-8,8,38,196,71,10,65,2015,Duo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020-06-19,97,68,73,-6,21,70,227,7,4,76,2015,Solo
Drag Me Down,One Direction,boy band,2015,2020-06-19,138,70,73,-6,7,60,192,11,4,84,2015,Band/Group
Perfect,One Direction,boy band,2015,2020-06-19,100,82,65,-5,12,40,230,6,8,81,2015,Band/Group
Sunset Lover,Petit Biscuit,new french touch,2015,2020-06-19,91,47,78,-9,11,24,238,73,5,75,2015,Solo
Wish You Were Mine - Radio Edit,Philip George,deep groove house,2014,2020-06-19,123,83,65,-4,10,41,178,1,3,70,2015,Solo
