title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Skyfall,Adele,british soul,2012,2020-06-22,76,55,35,-7,11,8,286,42,3,80,2012,Solo
Rumour Has It,Adele,british soul,2011,2020-06-22,120,75,61,-5,17,57,223,62,4,72,2012,Solo
Years,Alesso,dance pop,2013,2020-06-22,128,82,37,-6,17,32,195,0,8,53,2012,Solo
Too Close,Alex Clare,modern alternative rock,2011,2020-06-22,126,71,58,-4,11,29,257,1,4,67,2012,Solo
Breezeblocks,alt-J,indie rock,2012,2020-06-22,150,66,62,-7,21,29,227,10,3,77,2012,Band/Group
R U Mine?,Arctic Monkeys,garage rock,2012,2020-06-22,97,79,52,-5,70,68,200,5,3,39,2012,Band/Group
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,israeli pop,2012,2020-06-22,119,67,83,-6,17,53,215,22,6,72,2012,Solo
Levels - Radio Edit,Avicii,dance pop,2011,2020-06-22,126,89,58,-6,31,46,200,5,3,82,2012,Solo
Silhouettes - Original Radio Edit,Avicii,dance pop,2012,2020-06-22,128,80,61,-6,12,84,212,16,5,68,2012,Solo
212,Azealia Banks,dance pop,2014,2020-06-22,126,77,85,-6,8,62,205,1,26,73,2012,Solo
So Good,B.o.B,atl hip hop,2012,2020-06-22,86,90,66,-5,22,59,213,4,14,70,2012,Solo
Locked out of Heaven,Bruno Mars,dance pop,2012,2020-06-11,144,70,73,-4,31,87,233,5,4,91,2012,Solo
It Will Rain,Bruno Mars,dance pop,2011,2020-06-22,150,84,58,-7,8,48,258,34,5,74,2012,Solo
Feel So Close - Radio Edit,Calvin Harris,dance pop,2012,2020-06-22,128,92,71,-3,20,92,206,0,3,85,2012,Solo
Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,2012,2020-06-22,128,88,71,-3,29,88,233,1,6,71,2012,Solo
We'll Be Coming Back (feat. Example),Calvin Harris,dance pop,2012,2020-06-22,128,95,60,-4,60,57,234,0,9,68,2012,Solo
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,2020-06-22,120,58,78,-7,11,66,193,1,4,76,2012,Solo
Blown Away,Carrie Underwood,contemporary country,2012,2022-03-22,137,84,53,-3,3,39,240,9,4,68,2012,Solo
Want U Back,Cher Lloyd,dance pop,2012,2020-06-22,98,89,69,-3,56,56,215,6,9,71,2012,Solo
Turn Up the Music,Chris Brown,dance pop,2012,2020-06-22,130,84,59,-6,16,64,228,0,10,69,2012,Solo
